"COG20_FUNCTION_accession" "COG20_FUNCTION_function." "COG20_CATEGORY_accession" "COG20_CATEGORY_function."
"202" "COG3788" "Uncharacterized membrane protein YecN, MAPEG domain (YecN)" "S" "Function unknown"
"203" "COG0312" "Zn-dependent protease PmbA/TldA or its inactivated homolog (TldD) (PDB:3TV9) (PUBMED:12029038)" "R" "General function prediction only"
"204" "COG1420" "Transcriptional regulator of heat shock response (HrcA) (PDB:1STZ)" "K" "Transcription"
"205" "COG0576" "Molecular chaperone GrpE (heat shock protein HSP-70) (GrpE) (PDB:1DKG)" "O" "Posttranslational modification, protein turnover, chaperones"
"206" "COG0683" "ABC-type branched-chain amino acid transport system, periplasmic component (LivK) (PDB:1USG)" "E" "Amino acid transport and metabolism"
"207" "COG0085" "DNA-directed RNA polymerase, beta subunit/140 kD subunit (RpoB) (PDB:5UAJ)" "K" "Transcription"
"208" "COG1802" "DNA-binding transcriptional regulator, GntR family (GntR) (PDB:3FMS)" "K" "Transcription"
"209" "COG0021" "Transketolase (TktA) (PDB:1AY0)" "G" "Carbohydrate transport and metabolism"
"210" "COG0451" "Nucleoside-diphosphate-sugar epimerase (WcaG) (PDB:2X4G)" "M" "Cell wall/membrane/envelope biogenesis"
"211" "COG4421" "Capsular polysaccharide biosynthesis protein" "M" "Cell wall/membrane/envelope biogenesis"
"212" "COG0825" "Acetyl-CoA carboxylase alpha subunit (AccA) (PDB:2F9I)" "I" "Lipid transport and metabolism"
"213" "COG0240" "Glycerol-3-phosphate dehydrogenase (GpsA) (PDB:1EVY)" "C" "Energy production and conversion"
"214" "COG3914" "Predicted O-linked N-acetylglucosamine transferase, SPINDLY family (Spy) (PDB:2JLB)" "O" "Posttranslational modification, protein turnover, chaperones"
"215" "COG0189" "Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily (LysX) (PDB:1GLV)" "E" "Amino acid transport and metabolism"
"216" "COG0515" "Serine/threonine protein kinase (SPS1) (PDB:6G4J)" "T" "Signal transduction mechanisms"
"217" "COG2887" "RecB family exonuclease (Slr0479)" "L" "Replication, recombination and repair"
"218" "COG1074" "3-5 helicase subunit RecB of the DNA repair enzyme RecBCD (exonuclease V) (RecB) (PDB:3U44) (PUBMED:29901759;30601118)" "L" "Replication, recombination and repair"
"219" "COG0568" "DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32) (RpoD) (PDB:1SIG)" "K" "Transcription"
"220" "COG0122" "3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase (AlkA) (PDB:1DIZ)" "L" "Replication, recombination and repair"
"221" "COG1975" "Molybdoenzyme maturation factor PaoD (Mo cofactor insertion), XdhC/CoxF family (XdhC) (PDB:2WE7) (PUBMED:24498065)" "O" "Posttranslational modification, protein turnover, chaperones"
"222" "COG3552" "Uncharacterized protein CoxE, contains von Willebrand factor type A (vWA) domain (CoxE)" "S" "Function unknown"
"223" "COG2907" "Predicted flavin-containing amine oxidase (Ppro0129)" "R" "General function prediction only"
"224" "COG0686" "Alanine dehydrogenase (includes sporulation protein SpoVN) (Ald) (PDB:2EEZ)" "E" "Amino acid transport and metabolism"
"225" "COG0333" "Ribosomal protein L32 (RpmF) (PDB:1VS6) (PUBMED:17114934)" "J" "Translation, ribosomal structure and biogenesis"
"226" "COG3785" "Heat shock protein HspQ (HspQ) (PDB:5YCQ)" "O" "Posttranslational modification, protein turnover, chaperones"
"227" "COG1959" "DNA-binding transcriptional regulator, IscR family (IscR) (PDB:1XD7)" "K" "Transcription"
"228" "COG0276" "Protoheme ferro-lyase (ferrochelatase) (HemH) (PDB:1AK1)" "H" "Coenzyme transport and metabolism"
"229" "COG4973" "Site-specific recombinase XerC (XerC)" "L" "Replication, recombination and repair"
"230" "COG2109" "ATP:corrinoid adenosyltransferase (BtuR) (PDB:4HUT)" "H" "Coenzyme transport and metabolism"
"231" "COG0528" "Uridylate kinase (PyrH) (PDB:2BND)" "F" "Nucleotide transport and metabolism"
"232" "COG0233" "Ribosome recycling factor (Frr) (PDB:1DD5)" "J" "Translation, ribosomal structure and biogenesis"
"233" "COG3108" "Uncharacterized conserved protein YcbK, DUF882 family (YcbK)" "S" "Function unknown"
"234" "COG2175" "Taurine dioxygenase, alpha-ketoglutarate-dependent (TauD) (PDB:1DRT)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"235" "COG5470" "Uncharacterized conserved protein, DUF1330 family" "S" "Function unknown"
"236" "COG0625" "Glutathione S-transferase (GstA) (PDB:1A0F)" "O" "Posttranslational modification, protein turnover, chaperones"
"237" "COG1629" "Outer membrane receptor protein, Fe transport (CirA) (PDB:1BY3)" "P" "Inorganic ion transport and metabolism"
"238" "COG2273" "Beta-glucanase, GH16 family (BglS) (PDB:1AJK)" "G" "Carbohydrate transport and metabolism"
"239" "COG1643" "HrpA-like RNA helicase (HrpA) (PDB:5N8R)" "J" "Translation, ribosomal structure and biogenesis"
"240" "COG0654" "2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases (UbiH) (PDB:1BF3)" "H" "Coenzyme transport and metabolism"
"241" "COG1211" "2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (IspD) (PDB:1H3M)" "I" "Lipid transport and metabolism"
"242" "COG0667" "Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family (PdxI) (PDB:1LQA) (PUBMED:32253339)" "H" "Coenzyme transport and metabolism"
"243" "COG1102" "Cytidylate kinase (CmkB)" "F" "Nucleotide transport and metabolism"
"244" "COG0513" "Superfamily II DNA and RNA helicase (SrmB) (PDB:3RRM)" "L" "Replication, recombination and repair"
"245" "COG1272" "Predicted membrane channel-forming protein YqfA, hemolysin III family (YqfA) (PDB:3WXV)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"246" "COG0013" "Alanyl-tRNA synthetase (AlaS) (PDB:2ZZE)" "J" "Translation, ribosomal structure and biogenesis"
"247" "COG0845" "Multidrug efflux pump subunit AcrA (membrane-fusion protein) (AcrA) (PDB:1T5E)" "M" "Cell wall/membrane/envelope biogenesis"
"248" "COG2203" "GAF domain (GAF)" "T" "Signal transduction mechanisms"
"249" "COG1217" "Predicted membrane GTPase TypA/BipA involved in stress response (TypA) (PDB:5A9V)" "T" "Signal transduction mechanisms"
"250" "COG1129" "ABC-type sugar transport system, ATPase component (MglA)" "G" "Carbohydrate transport and metabolism"
"251" "COG0358" "DNA primase (bacterial type) (DnaG) (PDB:3B39) (PUBMED:28128549)" "L" "Replication, recombination and repair"
"252" "COG0317" "(p)ppGpp synthase/hydrolase, HD superfamily (SpoT) (PDB:1TDJ)" "T" "Signal transduction mechanisms"
"253" "COG0530" "Ca2+/Na+ antiporter (ECM27) (PDB:3V5S)" "P" "Inorganic ion transport and metabolism"
"254" "COG3517" "Predicted component TssB of the type VI protein secretion system, VipA/VipB/TssB family (PDB:5MYU)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"255" "COG3155" "Glyoxalase ElbB, DJ-1 superfamily (ElbB) (PDB:1VHQ) (PUBMED:26678554)" "V" "Defense mechanisms"
"256" "COG4993" "Glucose dehydrogenase, PQQ-dependent (Gcd) (PDB:1FLG)" "G" "Carbohydrate transport and metabolism"
"257" "COG1565" "SAM-dependent methyltransferase, MidA family (MidA) (PDB:1ZKD)" "R" "General function prediction only"
"258" "COG1104" "Cysteine desulfurase/Cysteine sulfinate desulfinase IscS or related enzyme, NifS family (NifS) (PDB:4IXO) (PUBMED:22773787;25825430)" "E" "Amino acid transport and metabolism"
"259" "COG1045" "Serine acetyltransferase (CysE) (PDB:1T3D)" "E" "Amino acid transport and metabolism"
"260" "COG0263" "Glutamate 5-kinase (ProB) (PDB:2W21)" "E" "Amino acid transport and metabolism"
"261" "COG0268" "Ribosomal protein S20 (RpsT) (PDB:4V4H)" "J" "Translation, ribosomal structure and biogenesis"
"262" "COG0728" "Lipid II flippase MurJ/MviN (peptidoglycan biosynthesis) (MurJ) (PDB:5T77) (PUBMED:25013077)" "M" "Cell wall/membrane/envelope biogenesis"
"263" "COG1053" "Succinate dehydrogenase/fumarate reductase, flavoprotein subunit (SdhA) (PDB:1KF6)" "C" "Energy production and conversion"
"264" "COG3741" "N-formylglutamate amidohydrolase (HutG)" "E" "Amino acid transport and metabolism"
"265" "COG0657" "Acetyl esterase/lipase (Aes) (PDB:1EVQ)" "I" "Lipid transport and metabolism"
"266" "COG0067" "Glutamate synthase domain 1 (GltB1) (PDB:1EA0)" "E" "Amino acid transport and metabolism"
"267" "COG0518" "GMP synthase, glutamine amidotransferase domain (GuaA1) (PDB:4WIM)" "F" "Nucleotide transport and metabolism"
"268" "COG0280" "Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase) (Pta) (PDB:1QZT) (PUBMED:28754323)" "C" "Energy production and conversion"
"269" "COG0364" "Glucose-6-phosphate 1-dehydrogenase (Zwf) (PDB:5B7W) (PUBMED:18950999)" "G" "Carbohydrate transport and metabolism"
"270" "COG1419" "Flagellar biosynthesis GTPase FlhF (FlhF) (PDB:3SYN)" "N" "Cell motility"
"271" "COG0395" "ABC-type glycerol-3-phosphate transport system, permease component (UgpE) (PDB:1VR4)" "G" "Carbohydrate transport and metabolism"
"272" "COG2230" "Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases (Cfa) (PDB:5Z9O)" "I" "Lipid transport and metabolism"
"273" "COG0824" "Acyl-CoA thioesterase FadM (FadM) (PDB:2FUJ)" "I" "Lipid transport and metabolism"
"274" "COG4257" "Streptogramin lyase (Vgb)" "V" "Defense mechanisms"
"275" "COG0196" "FAD synthase (RibF) (PDB:1MRZ)" "H" "Coenzyme transport and metabolism"
"276" "COG0647" "Ribonucleotide monophosphatase NagD, HAD superfamily (NagD) (PDB:1PW5)" "F" "Nucleotide transport and metabolism"
"277" "COG0234" "Co-chaperonin GroES (HSP10) (GroES)" "O" "Posttranslational modification, protein turnover, chaperones"
"278" "COG1290" "Cytochrome b subunit of the bc complex (QcrB/PetB) (PDB:1VF5)" "C" "Energy production and conversion"
"279" "COG0417" "DNA polymerase B elongation subunit (PolB) (PDB:6P1H)" "L" "Replication, recombination and repair"
"280" "COG0297" "Glycogen synthase (GlgA) (PDB:1RZU)" "G" "Carbohydrate transport and metabolism"
"281" "COG0740" "ATP-dependent protease ClpP, protease subunit (ClpP) (PDB:1TG6)" "O" "Posttranslational modification, protein turnover, chaperones"
"282" "COG5184" "Alpha-tubulin suppressor ATS1 and related RCC1 domain-containing proteins (ATS1) (PDB:1A12)" "D" "Cell cycle control, cell division, chromosome partitioning"
"283" "COG5758" "RNA-binding protein Tab2, reqiured for psaB translation (Tab2)" "C" "Energy production and conversion"
"284" "COG0523" "Zinc metallochaperone YeiR/ZagA and related GTPases, G3E family (YejR) (PDB:1NIJ) (PUBMED:19822009;31132310)" "R" "General function prediction only"
"285" "COG0656" "Aldo/keto reductase, related to diketogulonate reductase (ARA1) (PDB:1Q13)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"286" "COG4942" "Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB (EnvC)" "D" "Cell cycle control, cell division, chromosome partitioning"
"287" "COG2096" "Cob(II)alamin adenosyltransferase (PduO) (PDB:1NOG)" "H" "Coenzyme transport and metabolism"
"288" "COG0028" "Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme (IlvB) (PDB:1BFD)" "E" "Amino acid transport and metabolism"
"289" "COG1304" "FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase (LldD) (PDB:6AI7)" "C" "Energy production and conversion"
"290" "COG3401" "Fibronectin type 3 domain (FN3)" "R" "General function prediction only"
"291" "COG3118" "Chaperedoxin CnoX, contains thioredoxin-like and TPR-like domains, YbbN/TrxSC family (CnoX) (PDB:3QDN) (PUBMED:21498507;29754824)" "O" "Posttranslational modification, protein turnover, chaperones"
"292" "COG5405" "ATP-dependent protease HslVU (ClpYQ), peptidase subunit (HslV) (PDB:5JI3)" "O" "Posttranslational modification, protein turnover, chaperones"
"293" "COG0068" "Hydrogenase maturation factor HypF (carbamoyltransferase) (HypF) (PDB:3TSP)" "O" "Posttranslational modification, protein turnover, chaperones"
"294" "COG0766" "UDP-N-acetylglucosamine enolpyruvyl transferase (MurA) (PDB:1A2N)" "M" "Cell wall/membrane/envelope biogenesis"
"295" "COG0714" "MoxR-like ATPase (MoxR) (PDB:2R44)" "R" "General function prediction only"
"296" "COG3655" "DNA-binding transcriptional regulator, XRE family (YozG) (PDB:3TYR)" "K" "Transcription"
"297" "COG0403" "Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain (GcvP1) (PDB:4LGL)" "E" "Amino acid transport and metabolism"
"298" "COG1171" "Threonine deaminase (IlvA) (PDB:3IAU)" "E" "Amino acid transport and metabolism"
"299" "COG1262" "Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain (YfmG) (PDB:2AFT)" "O" "Posttranslational modification, protein turnover, chaperones"
"300" "COG2220" "L-ascorbate lactonase UlaG, metallo-beta-lactamase superfamily (UlaG) (PDB:2WYM)" "G" "Carbohydrate transport and metabolism"
"301" "COG0542" "ATP-dependent Clp protease, ATP-binding subunit ClpA (ClpA) (PDB:1KSF)" "O" "Posttranslational modification, protein turnover, chaperones"
"302" "COG2129" "Predicted phosphoesterase, related to the Icc protein (PDB:2YVT)" "R" "General function prediction only"
"303" "COG0524" "Sugar or nucleoside kinase, ribokinase family (RbsK) (PDB:2QCV)" "G" "Carbohydrate transport and metabolism"
"304" "COG3622" "Hydroxypyruvate/dehydroerythronate isomerase, Hyi/OtnI family (Hyi) (PDB:1K77) (PUBMED:27402745)" "G" "Carbohydrate transport and metabolism"
"305" "COG0022" "Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit (AcoB) (PDB:2OZL)" "C" "Energy production and conversion"
"306" "COG1404" "Serine protease, subtilisin family (AprE) (PDB:1SCJ)" "O" "Posttranslational modification, protein turnover, chaperones"
"307" "COG1196" "Chromosome segregation ATPase Smc (Smc) (PDB:5XG3)" "D" "Cell cycle control, cell division, chromosome partitioning"
"308" "COG1038" "Pyruvate carboxylase (PycA) (PDB:5VYW)" "C" "Energy production and conversion"
"309" "COG0842" "ABC-type multidrug transport system, permease component (YadH)" "V" "Defense mechanisms"
"310" "COG2225" "Malate synthase (AceB) (PDB:1D8C)" "C" "Energy production and conversion"
"311" "COG0659" "Sulfate permease or related transporter, MFS superfamily (SUL1) (PDB:3NY7)" "P" "Inorganic ion transport and metabolism"
"312" "COG0446" "NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase (FadH2) (PDB:1VRQ)" "I" "Lipid transport and metabolism"
"313" "COG0491" "Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II (GloB) (PDB:1QH3) (PUBMED:25670698)" "R" "General function prediction only"
"314" "COG5524" "Bacteriorhodopsin" "C" "Energy production and conversion"
"315" "COG1376" "Lipoprotein-anchoring transpeptidase ErfK/SrfK (ErfK) (PDB:4LZH)" "M" "Cell wall/membrane/envelope biogenesis"
"316" "COG0119" "Isopropylmalate/homocitrate/citramalate synthases (LeuA) (PDB:4JN6)" "E" "Amino acid transport and metabolism"
"317" "COG0284" "Orotidine-5'-phosphate decarboxylase (PyrF) (PDB:1DBT)" "F" "Nucleotide transport and metabolism"
"318" "COG0209" "Ribonucleotide reductase alpha subunit (NrdA) (PDB:1R1R)" "F" "Nucleotide transport and metabolism"
"319" "COG3164" "Uncharacterized conserved protein YhdP, contains DUF3971 and AsmA2 domains (YhdR)" "S" "Function unknown"
"320" "COG0603" "7-cyano-7-deazaguanine synthase (queuosine biosynthesis) (QueC) (PDB:2PG3) (PUBMED:14660578;17384645)" "J" "Translation, ribosomal structure and biogenesis"
"321" "COG1278" "Cold shock protein, CspA family (CspC) (PDB:1C9O)" "K" "Transcription"
"322" "COG1222" "ATP-dependent 26S proteasome regulatory subunit (RPT1) (PDB:5EQT)" "O" "Posttranslational modification, protein turnover, chaperones"
"323" "COG0809" "S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase) (QueA) (PDB:1VKY)" "J" "Translation, ribosomal structure and biogenesis"
"324" "COG1893" "Ketopantoate reductase (PanE) (PDB:1BG6)" "H" "Coenzyme transport and metabolism"
"325" "COG1138" "Cytochrome c biogenesis protein CcmF (CcmF)" "C" "Energy production and conversion"
"326" "COG0526" "Thiol-disulfide isomerase or thioredoxin (TrxA) (PDB:1XFL)" "O" "Posttranslational modification, protein turnover, chaperones"
"327" "COG3088" "Cytochrome c-type biogenesis protein CcmH/NrfF (NrfF) (PDB:2HL7)" "C" "Energy production and conversion"
"328" "COG0388" "Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate (Nit2) (PUBMED:28373563)" "C" "Energy production and conversion"
"329" "COG3494" "Uncharacterized conserved protein, DUF1009 family (PDB:4GGM)" "S" "Function unknown"
"330" "COG2320" "GrpB domain, predicted nucleotidyltransferase, UPF0157 family (GrpB) (PDB:6N39)" "R" "General function prediction only"
"331" "COG1281" "Redox-regulated molecular chaperone, HSP33 family (HslO) (PDB:1HW7)" "O" "Posttranslational modification, protein turnover, chaperones"
"332" "COG0429" "Predicted hydrolase of the alpha/beta-hydrolase fold (YheT)" "R" "General function prediction only"
"333" "COG4964" "Flp pilus assembly protein, secretin CpaC (CpaC)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"334" "COG0627" "S-formylglutathione hydrolase FrmB (FrmB) (PDB:1DQY)" "V" "Defense mechanisms"
"335" "COG0010" "Arginase/agmatinase family enzyme (SpeB) (PDB:1CEV)" "E" "Amino acid transport and metabolism"
"336" "COG0006" "Xaa-Pro aminopeptidase (PepP) (PDB:1A16)" "E" "Amino acid transport and metabolism"
"337" "COG0281" "Malic enzyme (SfcA) (PDB:1DO8)" "C" "Energy production and conversion"
"338" "COG5009" "Membrane carboxypeptidase/penicillin-binding protein (MrcA) (PDB:3D0F)" "M" "Cell wall/membrane/envelope biogenesis"
"339" "COG0498" "Threonine synthase (ThrC) (PDB:1VB3)" "E" "Amino acid transport and metabolism"
"340" "COG0520" "Selenocysteine lyase/Cysteine desulfurase (CsdA) (PDB:4LW2)" "E" "Amino acid transport and metabolism"
"341" "COG2152" "Predicted glycosyl hydrolase, GH43/DUF377 family (PDB:1VKD)" "G" "Carbohydrate transport and metabolism"
"342" "COG1410" "Methionine synthase I, cobalamin-binding domain (MetH2) (PDB:4DJD)" "E" "Amino acid transport and metabolism"
"343" "COG0522" "Ribosomal protein S4 or related protein (RpsD) (PDB:4V4H)" "J" "Translation, ribosomal structure and biogenesis"
"344" "COG0202" "DNA-directed RNA polymerase, alpha subunit/40 kD subunit (RpoA) (PDB:4KN7)" "K" "Transcription"
"345" "COG1905" "NADH:ubiquinone oxidoreductase 24 kD subunit (chain E) (NuoE) (PDB:5XF9)" "C" "Energy production and conversion"
"346" "COG1894" "NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F) (NuoF) (PDB:2FUG)" "C" "Energy production and conversion"
"347" "COG2942" "Mannose or cellobiose epimerase, N-acyl-D-glucosamine 2-epimerase family (YihS) (PDB:2ZBL)" "G" "Carbohydrate transport and metabolism"
"348" "COG0719" "Fe-S cluster assembly scaffold protein SufB (SufB) (PDB:1VH4)" "O" "Posttranslational modification, protein turnover, chaperones"
"349" "COG1063" "Threonine dehydrogenase or related Zn-dependent dehydrogenase (Tdh) (PDB:4A2C)" "E" "Amino acid transport and metabolism"
